rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S106,18,18,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,23,23,MODULAR,Replace this use of System.out by a logger.,null,
java:S1611,27,27,CLEAR,Remove the parentheses around the "string" parameter (sonar.java.source not set. Assuming 8 or greater.),null,
java:S1602,27,27,CLEAR,Remove useless curly braces around statement (sonar.java.source not set. Assuming 8 or greater.),null,
java:S106,28,28,MODULAR,Replace this use of System.out by a logger.,null,
java:S1611,33,33,CLEAR,Remove the parentheses around the "someOtherString" parameter (sonar.java.source not set. Assuming 8 or greater.),null,
java:S1602,33,33,CLEAR,Remove useless curly braces around statement (sonar.java.source not set. Assuming 8 or greater.),null,
java:S106,34,34,MODULAR,Replace this use of System.out by a logger.,null,
