snippet_id,baseline,readability_score
2,stackoverflow,0.7902095913887024
2,chatgpt,0.8234267234802246
2,chatgpt2025,0.544337809085846
2,deepseek,0.5969091653823853
2,Gemini,0.6804217994213104
3,stackoverflow,0.5295140147209167
3,chatgpt,0.3264996409416199
3,chatgpt2025,0.659164309501648
3,deepseek,0.48403823375701904
3,Gemini,0.48541146516799927
4,stackoverflow,0.3914321959018707
4,chatgpt,0.9093189835548401
4,chatgpt2025,0.7352115511894226
4,deepseek,0.7819128036499023
4,Gemini,0.7239918112754822
5,stackoverflow,0.980082094669342
5,chatgpt,0.9132051467895508
5,chatgpt2025,0.9703037738800049
5,deepseek,0.9819299578666687
5,Gemini,0.9756774306297302
6,stackoverflow,0.8053920865058899
6,chatgpt,0.9045670032501221
6,chatgpt2025,0.6987017273902894
6,deepseek,0.8142213523387909
6,Gemini,0.9560791850090027
8,stackoverflow,0.5436446070671082
8,chatgpt,0.1375979632139206
8,chatgpt2025,0.5850721995035807
8,deepseek,0.7459412515163422
8,Gemini,0.6047587650162833
9,stackoverflow,0.794156551361084
9,chatgpt,0.814971387386322
9,chatgpt2025,0.38686510920524597
9,deepseek,0.7888939082622528
9,Gemini,0.576431155204773
10,stackoverflow,
10,chatgpt,0.8411022226015726
10,chatgpt2025,0.8940286934375763
10,deepseek,
10,Gemini,0.8160740882158279
11,stackoverflow,0.18419215828180313
11,chatgpt,0.7805394530296326
11,chatgpt2025,0.665314237276713
11,deepseek,0.682175612449646
11,Gemini,0.48657478019595146
12,stackoverflow,0.8030802309513092
12,chatgpt,0.8125013560056686
12,chatgpt2025,0.5452185332775116
12,deepseek,0.6358926792939504
12,Gemini,0.6336747854948044
13,stackoverflow,0.7600588768720626
13,chatgpt,0.8741070628166199
13,chatgpt2025,0.00813669990748167
13,deepseek,0.44538021087646484
13,Gemini,0.13030405342578888
14,stackoverflow,0.8082267045974731
14,chatgpt,0.8248171210289001
14,chatgpt2025,0.676642894744873
14,deepseek,0.7319386601448059
14,Gemini,0.6560856103897095
15,stackoverflow,0.5241473913192749
15,chatgpt,0.1031934842467308
15,chatgpt2025,0.43155911564826965
15,deepseek,0.7280198335647583
15,Gemini,0.7236471176147461
16,stackoverflow,0.8695598244667053
16,chatgpt,0.918632835149765
16,chatgpt2025,0.9104708135128021
16,deepseek,0.9369353652000427
16,Gemini,0.6347575783729553
17,stackoverflow,0.7264467477798462
17,chatgpt,0.8308210968971252
17,chatgpt2025,0.8194099068641663
17,deepseek,0.7105965614318848
17,Gemini,0.6920242607593536
