rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S1192,71,71,DISTINCT,Define a constant instead of duplicating this literal "ISO-8859-1" 3 times.,null,
java:S1118,20,20,CLEAR,Add a private constructor to hide the implicit public one.,null,
java:S4719,71,71,CONVENTIONAL,Replace charset name argument with StandardCharsets.ISO_8859_1,null,
java:S4719,73,73,CONVENTIONAL,Replace charset name argument with StandardCharsets.ISO_8859_1,null,
java:S4719,75,75,CONVENTIONAL,Replace charset name argument with StandardCharsets.ISO_8859_1,null,
